ean,brand,model,variant,gender,type,description,shape,frame_thickness,pattern,pattern_2,clip,progression,material,material_2,material_extra,color,color_2,color_extra,lens_color_type,lens_color,polarization,dimension_L,dimension_M,dimension_R
716736226019,Carrera,CARRERA 1115,WR7,moška,okvirji,,oglata,normalna,sijaj,,0,1,acetat,,,črna,,,,,0,57,16,145
716736412023,Carrera,CARRERA 1128,807,moška,okvirji,,oglata,normalna,sijaj,,0,1,acetat,,,črna,,,,,0,52,20,145
716736412078,Carrera,CARRERA 1128,PJP,moška,okvirji,,oglata,normalna,sijaj,,0,1,acetat,,,modra,,,,,0,65,13,145
716736413204,Carrera,CARRERA 2035T,2M2,otroška,okvirji,,okrogla,tanka,sijaj,,0,0,monel,,,črna,,,,,0,56,21,145
716736413228,Carrera,CARRERA 2035T,807,otroška,okvirji,,okrogla,tanka,sijaj,,0,0,monel,,,črna,,,,,0,58,17,145
716736413259,Carrera,CARRERA 2035T,PJP,otroška,okvirji,,okrogla,tanka,sijaj,,0,0,monel,,,modra,,,,,0,58,16,140
716736414645,Carrera,CARRERA 264,09Q,moška,okvirji,,oglata,tanka,sijaj,,0,1,monel,,,rjava,,,,,0,55,19,140
716736414652,Carrera,CARRERA 264,R80,moška,okvirji,,oglata,tanka,mat,,0,1,monel,,,siva,,,,,0,55,19,140
716736413075,Carrera,CARRERA 270,807,moška,okvirji,,oglata,normalna,sijaj,,0,1,acetat,,,črna,,,,,0,53,21,150
716736413099,Carrera,CARRERA 270,KB7,moška,okvirji,,oglata,normalna,sijaj,,0,1,acetat,,,prozorna,,,,,0,57,18,145
716736085890,Carrera,CARRERA 8832,PJP,moška,okvirji,,oglata,tanka,sijaj,,0,1,titan,,,modra,,,,,0,51,19,150
716736299020,Carrera,CARRERA 8854,09Q,moška,okvirji,,oglata,tanka,sijaj,,0,1,monel,,,rjava,,,,,0,56,16,140
716736361901,Carrera,CARRERA 8858,003,moška,okvirji,,oglata,tanka,mat,,0,1,titan,,,črna,,,,,0,55,15,140
716736412306,Carrera,CARRERA 8863,807,moška,okvirji,,oglata,tanka,sijaj,,0,1,monel,,,črna,,,,,0,56,18,145
716736412290,Carrera,CARRERA 8863,09Q,moška,okvirji,,oglata,tanka,sijaj,,0,1,monel,,,rjava,,,,,0,56,18,145
716736412184,Carrera,CARRERA 8864,003,moška,okvirji,,oglata,normalna,mat,,0,1,monel,,,črna,,,,,0,56,16,145
716736412191,Carrera,CARRERA 8864,003,moška,okvirji,,oglata,tanka,mat,,0,1,monel,,,črna,,,,,0,56,16,145
716736412221,Carrera,CARRERA 8864,807,moška,okvirji,,oglata,tanka,sijaj,,0,1,monel,,,črna,,,,,0,58,18,145
716736412214,Carrera,CARRERA 8864,09Q,moška,okvirji,,oglata,tanka,sijaj,,0,1,monel,,,rjava,,,,,0,58,18,145
716736412375,Carrera,CARRERA 8865,807,moška,okvirji,,oglata,normalna,sijaj,,0,1,acetat,,,črna,,,,,0,51,23,145
716736412405,Carrera,CARRERA 8865,PJP,moška,okvirji,,oglata,normalna,sijaj,,0,1,acetat,,,modra,,,,,0,53,19,145
716736325187,David Beckham,DB 1024,284,moška,okvirji,,okrogla,normalna,sijaj,,0,1,acetat,,,črna,,,,,0,56,17,145
716736366661,David Beckham,DB 1050,EX4,moška,okvirji,,oglata,normalna,sijaj,vzorec,0,1,acetat,,,rjava,,,,,0,54,20,140
716736325149,David Beckham,DB 7022,33Z,moška,okvirji,,oglata,normalna,sijaj,,0,1,acetat,,,siva,,,,,0,56,17,145
716736162065,Dior,DIORESSENCE17F,807,ženska,okvirji,,okrogla,normalna,sijaj,,0,1,acetat,,,črna,,,,,0,55,18,145
716736007717,Dior,MONTAIGNE33,JBW,ženska,okvirji,,mačja,normalna,sijaj,vzorec,0,1,acetat,,,črna,modra,,,,0,52,17,140
716736160863,Fendi,FF 0353,DDB,ženska,okvirji,,okrogla,tanka,sijaj,,0,1,monel,,,zlata,,,,,0,55,18,145
716736367750,Hugo Boss,BOSS 1244,05N,moška,okvirji,,oglata,tanka,mat,,0,1,monel,,,rjava,,,,,0,62,16,145
716736398204,Hugo Boss,BOSS 1251,RIW,moška,okvirji,,oglata,normalna,mat,,0,1,acetat,,,siva,,,,,0,51,20,145
716736362236,Hugo Boss,BOSS 1252,003,moška,okvirji,,okrogla,tanka,mat,,0,1,titan,,,črna,,,,,0,54,15,145
716736362250,Hugo Boss,BOSS 1252,7BL,moška,okvirji,,okrogla,tanka,mat,,0,1,titan,,,rdeča,,,,,0,52,17,135
716736362373,Hugo Boss,BOSS 1253,FLL,moška,okvirji,,oglata,tanka,mat,,0,1,titan,,,modra,,,,,0,53,17,145
716736356778,Hugo Boss,BOSS 1270,2M2,ženska,okvirji,,okrogla,normalna,sijaj,,0,1,acetat,,,črna,,,,,0,53,20,145
716736423906,Hugo Boss,BOSS 1315,4HU,moška,okvirji,,oglata,normalna,sijaj,vzorec,0,1,acetat,,,havana,,,,,0,64,11,135
716736423937,Hugo Boss,BOSS 1316,284,moška,okvirji,,okrogla,normalna,sijaj,,0,1,acetat,,,črna,,,,,0,64,11,135
716736415505,Hugo Boss,BOSS 1319/BB,807,moška,okvirji,,okrogla,normalna,sijaj,,0,1,acetat,,,črna,,,,,0,60,15,140
716736415512,Hugo Boss,BOSS 1320/BB,807,moška,okvirji,,oglata,normalna,sijaj,,0,1,acetat,,,črna,,,,,0,59,16,145
716736416090,Hugo Boss,BOSS 1320,284,moška,okvirji,,oglata,normalna,sijaj,,0,1,acetat,,,črna,,,,,0,54,18,145
716736416113,Hugo Boss,BOSS 1320,PZH,moška,okvirji,,oglata,normalna,sijaj,vzorec,0,1,acetat,,,siva,,,,,0,55,18,145
716736415123,Hugo Boss,BOSS 1330,FS2,ženska,okvirji,,oglata,normalna,sijaj,,0,1,acetat,,,prozorna,,,,,0,51,20,140
716736135083,Hugo Boss,HG 1030,BLX,moška,okvirji,,okrogla,tanka,mat,,0,1,monel,,,črna,,,,,0,52,18,145
716736233192,Hugo Boss,HG 1074,UYY,moška,okvirji,,oglata,normalna,sijaj,,0,1,acetat,,,črna,,,,,0,51,18,140
716736233161,Hugo Boss,HG 1074,5RK,moška,okvirji,,oglata,normalna,sijaj,,0,1,acetat,,,siva,,,,,0,55,17,145
716736239453,Hugo Boss,HG 1075,003,moška,okvirji,,oglata,normalna,mat,,0,1,monel,,,črna,,,,,0,56,16,145
716736297132,Hugo Boss,HG 1102,003,moška,okvirji,,oglata,normalna,mat,,0,1,acetat,,,črna,,,,,0,56,15,140
716736297194,Hugo Boss,HG 1102,OIT,moška,okvirji,,oglata,normalna,mat,,0,1,acetat,,,črna,,,,,0,56,15,140
716736297323,Hugo Boss,HG 1104,003,moška,okvirji,,oglata,tanka,mat,,0,1,monel,,,črna,,,,,0,55,17,140
716736301600,Hugo Boss,HG 1107,EX4,ženska,okvirji,,okrogla,normalna,sijaj,vzorec,0,1,acetat,,,rjava,,,,,0,53,15,145
716736368375,Hugo Boss,HG 1125,08A,moška,okvirji,,oglata,normalna,sijaj,,0,1,acetat,,,črna,,,,,0,58,16,140
716736368573,Hugo Boss,HG 1126,08A,moška,okvirji,,okrogla,normalna,sijaj,,0,1,acetat,,,črna,,,,,0,58,13,150
716736368597,Hugo Boss,HG 1126,3LG,moška,okvirji,,okrogla,normalna,sijaj,,0,1,acetat,,,rjava,,,,,0,50,22,150
716736371764,Hugo Boss,HG 1130,003,moška,okvirji,,oglata,normalna,mat,,0,1,acetat,,,črna,,,,,0,55,17,145
716736393896,Hugo Boss,HG 1137,HT8,ženska,okvirji,,mačja,normalna,sijaj,vzorec,0,1,acetat,,,roza,,,,,0,50,22,145
716736402529,Hugo Boss,HG 1141,ANS,moška,okvirji,,okrogla,normalna,sijaj,,0,1,acetat,,,črna,,,,,0,54,20,140
716736368696,Hugo Boss,HG 1141,086,moška,okvirji,,okrogla,normalna,sijaj,vzorec,0,1,acetat,,,havana,,,,,0,58,15,145
716736368719,Hugo Boss,HG 1141,CBL,moška,okvirji,,okrogla,normalna,sijaj,,0,1,acetat,,,siva,prozorna,,,,0,52,22,145
716736402512,Hugo Boss,HG 1142,RZZ,moška,okvirji,,oglata,tanka,mat,,0,1,monel,,,črna,,,,,0,53,19,145
716736418261,Hugo Boss,HG 1153,003,moška,okvirji,,oglata,normalna,mat,,0,1,acetat,,,črna,,,,,0,63,13,145
716736418278,Hugo Boss,HG 1153,FLL,moška,okvirji,,oglata,normalna,mat,,0,1,acetat,,,modra,,,,,0,63,13,145
716736418285,Hugo Boss,HG 1153,FLL,moška,okvirji,,oglata,normalna,mat,,0,1,acetat,,,modra,,,,,0,58,17,145
716736418230,Hugo Boss,HG 1155,RZZ,moška,okvirji,,oglata,tanka,mat,,0,1,monel,,,črna,,,,,0,53,18,140
716736418223,Hugo Boss,HG 1155,KU0,moška,okvirji,,oglata,tanka,mat,,0,1,monel,,,modra,,,,,0,53,18,140
716736418339,Hugo Boss,HG 1156,003,moška,okvirji,,okrogla,tanka,mat,,0,1,monel,,,črna,,,,,0,58,17,145
716736429656,Hugo Boss,HG 1163,807,moška,okvirji,,oglata,normalna,sijaj,,0,1,najlon,,,črna,,,,,0,56,17,145
716736429670,Hugo Boss,HG 1163,OIT,moška,okvirji,,oglata,normalna,sijaj,,0,1,najlon,,,črna,,,,,0,56,17,145
716736429687,Hugo Boss,HG 1164,807,moška,okvirji,,okrogla,normalna,sijaj,,0,1,najlon,,,črna,,,,,0,56,18,145
716736429717,Hugo Boss,HG 1164,PJP,moška,okvirji,,okrogla,normalna,sijaj,,0,1,najlon,,,modra,,,,,0,50,22,145
716736287287,Jimmy Choo,JC287,086,ženska,okvirji,,mačja,normalna,sijaj,vzorec,0,1,acetat,,,havana,,,,,0,54,17,145
716736349176,Jimmy Choo,JC292,807,ženska,okvirji,,oglata,normalna,sijaj,,0,1,acetat,,,črna,,,,,0,54,16,145
716736349244,Jimmy Choo,JC293,807,ženska,okvirji,,mačja,normalna,sijaj,,0,1,acetat,,,črna,,,,,0,53,20,140
716736349879,Jimmy Choo,JC297,807,ženska,okvirji,,oglata,normalna,sijaj,,0,1,acetat,,,črna,,,,,0,53,18,145
716736349909,Jimmy Choo,JC297,JBW,ženska,okvirji,,oglata,normalna,sijaj,vzorec,0,1,acetat,,,modra,,,,,0,55,16,145
716736349893,Jimmy Choo,JC297,FWM,ženska,okvirji,,oglata,normalna,sijaj,,0,1,acetat,,,prozorna,roza,,,,0,53,18,145
716736351933,Jimmy Choo,JC309,DXF,ženska,okvirji,,mačja,normalna,mat,vzorec,0,1,acetat,,,črna,,,,,0,51,18,145
716736409399,Jimmy Choo,JC313,LDG,ženska,okvirji,,oglata,normalna,sijaj,vzorec,0,1,acetat,,,havana,,,,,0,58,17,140
