Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
okvirji-aviator-monel-modra-ray-ban-rx3648v,RX3648V,"<div class=""morela-product-dimension"">
<div class=""morela-dimens-text descri"">
<div class=""morela-dimens-txt left"">
<h3>﻿﻿Velikost: srednja</h3>
<h4>Dimenzije: <span>51-21-145</span>
</h4>
</div>
<div class=""morela-dimens-img left"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/mere_ocal_02.jpg?v=1588839507""><p>Dimenzije okvirje so zapisane na notranji strani ročke očal.</p>
</div>
</div>
<div class=""morela-product-show descri"">
<div class=""morela-dimens-txt right""></div>
<div class=""morela-dimens-img right"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/merjenje_s-Kartico.jpg?v=1588839223""><p>﻿﻿Možnost hitre meritve širine obraza.</p>
</div>
</div>
</div>",Ray-Ban,nan,okvirji,"2020-11, _tab1_morela-kvaliteta-lec, _tab2_oblika-okvirja-aviator, _tab3_material-monel, _tab99_oblika-obraza-srcasta-oglata, aviator, blcyb2020, disc_subsc, kovinska, luxottica-vto, mladostno, modra, monel, moška, nodiscount, okvirji, progresiv, q1 2020, Ray-Ban, srednja, tah, tanka, upld-2020-11-26, ženska",True,barva,modra,velikost,srednja,nan,nan,'8056597010320,0.0,shopify,deny,manual,129.0,129.0,True,True,'8056597010320,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/8056597010320__frnt.png?v=1606406687,1.0,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/8056597010320__frnt.png?v=1606406687,kg,nan,nan,active
okvirji-aviator-monel-modra-ray-ban-rx3648v,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/8056597010320__side.png?v=1606406687,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
okvirji-aviator-monel-zlata-battatura-btt45,BTT45,"<div class=""morela-product-dimension"">
<div class=""morela-dimens-text descri"">
<div class=""morela-dimens-txt left"">
<h3>﻿﻿Velikost: srednja</h3>
<h4>Dimenzije: <span>51-18-140</span>
</h4>
</div>
<div class=""morela-dimens-img left"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/mere_ocal_02.jpg?v=1588839507""><p>Dimenzije okvirje so zapisane na notranji strani ročke očal.</p>
</div>
</div>
<div class=""morela-product-show descri"">
<div class=""morela-dimens-txt right""></div>
<div class=""morela-dimens-img right"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/merjenje_s-Kartico.jpg?v=1588839223""><p>﻿﻿Možnost hitre meritve širine obraza.</p>
</div>
</div>
</div>",Battatura,nan,okvirji,"2020-12, _tab1_morela-kvaliteta-lec, _tab2_oblika-okvirja-aviator, _tab3_material-monel, _tab99_oblika-obraza-srcasta-oglata, aviator, Battatura, disc_subsc, klasična, kovinska, monel, moška, nodiscount, okvirji, q2 2019, srednja, tah, tanka, upld-2020-12-04, zlata, ženska",False,barva,zlata,velikost,srednja,nan,nan,10000000BTT45,0.0,shopify,deny,manual,89.0,89.0,True,True,10000000BTT45,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/10000000BTT45__frnt.png?v=1607090810,1.0,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/10000000BTT45__frnt.png?v=1607090810,kg,nan,nan,archived
okvirji-aviator-monel-zlata-battatura-btt45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/10000000BTT45__side.png?v=1607090810,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
okvirji-aviator-monel-zlata-vogue-vo4140,VO4140,"<div class=""morela-product-dimension"">
<div class=""morela-dimens-text descri"">
<div class=""morela-dimens-txt left"">
<h3>﻿﻿Velikost: srednja</h3>
<h4>Dimenzije: <span>53-16-135</span>
</h4>
</div>
<div class=""morela-dimens-img left"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/mere_ocal_02.jpg?v=1588839507""><p>Dimenzije okvirje so zapisane na notranji strani ročke očal.</p>
</div>
</div>
<div class=""morela-product-show descri"">
<div class=""morela-dimens-txt right""></div>
<div class=""morela-dimens-img right"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/merjenje_s-Kartico.jpg?v=1588839223""><p>﻿﻿Možnost hitre meritve širine obraza.</p>
</div>
</div>
</div>",Vogue,nan,okvirji,"2020-11, _tab1_morela-kvaliteta-lec, _tab2_oblika-okvirja-aviator, _tab3_material-monel, _tab99_oblika-obraza-srcasta-oglata, aviator, blcyb2020, disc_subsc, havana, kovinska, mladostno, monel, nodiscount, okvirji, progresiv, Q2 2020, srednja, tah, tanka, upld-2020-11-26, Vogue, vto, zlata, ženska",True,barva,zlata,velikost,srednja,nan,nan,'532983,0.0,shopify,deny,manual,118.0,118.0,True,True,'8056597042987,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/8056597042987__frnt.png?v=1606406777,1.0,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/8056597042987__frnt.png?v=1606406777,kg,nan,nan,active
okvirji-aviator-monel-zlata-vogue-vo4140,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/8056597042987__side.png?v=1606406777,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
okvirji-kvadratna-monel-rjava-emporio-armani-ea1084-300355,EA1084 3003/55,"<div class=""morela-product-dimension"">
<div class=""morela-dimens-text descri"">
<div class=""morela-dimens-txt left"">
<h3>﻿﻿Velikost: srednja</h3>
<h4>Dimenzije: <span>53-19-145</span>
</h4>
</div>
<div class=""morela-dimens-img left"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/mere_ocal_02.jpg?v=1588839507""><p>Dimenzije okvirje so zapisane na notranji strani ročke očal.</p>
</div>
</div>
<div class=""morela-product-show descri"">
<div class=""morela-dimens-txt right""></div>
<div class=""morela-dimens-img right"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/merjenje_s-Kartico.jpg?v=1588839223""><p>﻿﻿Možnost hitre meritve širine obraza.</p>
</div>
</div>
</div>",Emporio Armani,nan,okvirji,"_tab1_morela-kvaliteta-lec, _tab2_oblika-okvirja-kvadratna, _tab3_material-monel, _tab99_oblika-obraza-srcasta-oglata, blcyb2020, blkcyb2020, disc_subsc, Emporio Armani, klasična, kovinska, kvadratna, monel, moška, nodiscount, okvirji, Q2 2020, rjava, srednja, tah, tanka, upld-2020-10-28, športno",True,barva,rjava,velikost,srednja,nan,nan,'542962,0.0,shopify,deny,manual,119.0,119.0,True,True,'8053672946055,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/542962__frnt_6c774ee8-c7a4-4689-836a-ef8e857ea6ce.png?v=1603895903,1.0,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/542962__frnt_6c774ee8-c7a4-4689-836a-ef8e857ea6ce.png?v=1603895903,kg,nan,nan,active
okvirji-kvadratna-monel-rjava-emporio-armani-ea1084-300355,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/542962__side_372d3366-5557-4100-9d60-97f0e01a20b2.png?v=1603895903,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
okvirji-macja-acetat-bordo-gucci-gg0109o-006,GG0109O 006,"<div class=""morela-product-dimension"">
<div class=""morela-dimens-text descri"">
<div class=""morela-dimens-txt left"">
<h3>﻿﻿Velikost: srednja</h3>
<h4>Dimenzije: <span>50-19-140</span>
</h4>
</div>
<div class=""morela-dimens-img left"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/mere_ocal_02.jpg?v=1588839507""><p>Dimenzije okvirje so zapisane na notranji strani ročke očal.</p>
</div>
</div>
<div class=""morela-product-show descri"">
<div class=""morela-dimens-txt right""></div>
<div class=""morela-dimens-img right"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/merjenje_s-Kartico.jpg?v=1588839223""><p>﻿﻿Možnost hitre meritve širine obraza.</p>
</div>
</div>
</div>",Gucci,nan,okvirji,"_tab1_morela-kvaliteta-lec, _tab2_oblika-okvirja-macja, _tab3_material-acetat, acetat, blcyb2020, blkcyb2020, bordo, disc_subsc, Gucci, mačja, mladostno, nodiscount, normalna, okvirji, progresiv, Q4 2019, srednja, tah, vto, zlata, ženska",True,barva,bordo,velikost,srednja,nan,nan,'520729,0.0,shopify,deny,manual,269.0,269.0,True,True,'889652078397,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/520729__side.png?v=1589497603,1.0,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/520729__side.png?v=1589497603,kg,nan,nan,active
okvirji-macja-acetat-crna-cartier-ct0031o-00150,CT0031O -001/50,"<div class=""morela-product-dimension"">
<div class=""morela-dimens-text descri"">
<div class=""morela-dimens-txt left"">
<h3> Velikost: srednja</h3>
<h4>Dimenzije: <span>50-20-140</span>
</h4>
</div>
<div class=""morela-dimens-img left"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/mere_ocal_02.jpg?v=1588839507""><p>Dimenzije okvirje so zapisane na notranji strani ročke očal.</p>
</div>
</div>
<div class=""morela-product-show descri"">
<div class=""morela-dimens-txt right""></div>
<div class=""morela-dimens-img right"">
<img src=""https://cdn.shopify.com/s/files/1/0376/6953/5788/files/merjenje_s-Kartico.jpg?v=1588839223""><p> Možnost hitre meritve širine obraza.</p>
</div>
</div>
</div>",Cartier,nan,okvirji,""" Cartier, _tab1_morela-kvaliteta-lec, _tab2_oblika-okvirja-macja, _tab3_material-acetat, acetat, blcyb2020, blkcyb2020, debela, klasična, mačja, nodiscount, okvirji, progresiv, Q1 2019, srednja, tah, upld-2020-10-27 "", zlata, črna, ženska",True,barva,črna,velikost,srednja,nan,nan,'512336,0.0,shopify,deny,manual,504.0,504.0,True,True,'843023103996,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/512336__frnt_1a0136b3-f60a-413c-9f68-271266c79910.png?v=1603757711,1.0,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/512336__frnt_1a0136b3-f60a-413c-9f68-271266c79910.png?v=1603757711,kg,nan,nan,active
okvirji-macja-acetat-crna-cartier-ct0031o-00150,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/512336__side_900ab574-75f4-44d4-a73b-be686fe80afa.png?v=1603757711,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
