Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
okvirji-dior-montaigne33-macja-acetat-crna-modra-716736007717,MONTAIGNE33,"<div class=""morela-product-details"">
  <ul class=""details-data"">
  <h3>Model očal</h3>
  <li><span class=""label"">Znamka</span><b class=""data"">Dior</b></li>
  <li><span class=""label"">Model</span><b class=""data"">MONTAIGNE33</b></li>
  <li><span class=""label"">Dodatna oznaka</span><b class=""data"">JBW</b></li>
  <li><span class=""label"">Kolekcija</span><b class=""data"">ženska</b></li>
  </ul>
  <ul class=""details-data"">
  <h3>Lastnosti okvirja</h3>
  <li><span class=""label"">Velikost</span><b class=""data"">srednja (52-17-140)</b></li>
  <li><span class=""label"">Oblika</span><b class=""data"">mačja</b></li>
  <li><span class=""label"">Debelina</span><b class=""data"">normalna</b></li>
  <li><span class=""label"">Material</span><b class=""data"">acetat</b></li>
  <li><span class=""label"">Barva</span><b class=""data"">črna, modra</b></li>
  <li><span class=""label"">Obdelava</span><b class=""data"">sijaj, vzorec</b></li>
  </ul>
  <ul class=""details-data"">
  <h3>Lastnosti stekel</h3>
  <li><span class=""label"">Clip on</span><b class=""data"">ne</b></li>
  <li><span class=""label"">Progresiva</span><b class=""data"">da</b></li>
  </ul>
 </div>",Dior,okvirji,"""stg, Dior, okvirji, sijaj, vzorec, progresiv, _tab1_morela-kvaliteta-lec, tah, črna, modra, srednja, acetat, _tab3_material-acetat, mačja, normalna, _tab2_oblika-okvirja-macja, _tab0_velikost-ocal, ženska, q3 2022, 2022-8, nodiscount, upld-2022-08-11, etg""",FALSE,barva,črna,velikost,srednja,,,E716736007717,,shopify,12,deny,manual,189,189,TRUE,TRUE,716736007717,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/pridem_kmalu_02_3517abe6-2528-4b4d-83e6-2537b7ec9d11.png,1,Dior MONTAIGNE33,,Dior MONTAIGNE33| Optika Morela - shopmorela.si,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/pridem_kmalu_02_3517abe6-2528-4b4d-83e6-2537b7ec9d11.png,,,
okvirji-safilo-lastra-03-oglata-acetat-crna-716736009643,LASTRA 03,"<div class=""morela-product-details"">
  <ul class=""details-data"">
  <h3>Model očal</h3>
  <li><span class=""label"">Znamka</span><b class=""data"">Safilo</b></li>
  <li><span class=""label"">Model</span><b class=""data"">LASTRA 03</b></li>
  <li><span class=""label"">Dodatna oznaka</span><b class=""data"">003</b></li>
  <li><span class=""label"">Kolekcija</span><b class=""data"">moška</b></li>
  </ul>
  <ul class=""details-data"">
  <h3>Lastnosti okvirja</h3>
  <li><span class=""label"">Velikost</span><b class=""data"">srednja (52-17-140)</b></li>
  <li><span class=""label"">Oblika</span><b class=""data"">oglata</b></li>
  <li><span class=""label"">Debelina</span><b class=""data"">normalna</b></li>
  <li><span class=""label"">Material</span><b class=""data"">acetat</b></li>
  <li><span class=""label"">Barva</span><b class=""data"">črna</b></li>
  <li><span class=""label"">Obdelava</span><b class=""data"">mat</b></li>
  </ul>
  <ul class=""details-data"">
  <h3>Lastnosti stekel</h3>
  <li><span class=""label"">Clip on</span><b class=""data"">ne</b></li>
  <li><span class=""label"">Progresiva</span><b class=""data"">da</b></li>
  </ul>
 </div>",Safilo,okvirji,"""stg, Safilo, okvirji, mat, progresiv, _tab1_morela-kvaliteta-lec, tah, črna, srednja, acetat, _tab3_material-acetat, oglata, normalna, _tab2_oblika-okvirja-oglata, _tab0_velikost-ocal, moška, q3 2022, 2022-8, nodiscount, upld-2022-08-11, etg""",FALSE,barva,črna,velikost,srednja,,,E716736009643,,shopify,2,deny,manual,219,219,TRUE,TRUE,716736009643,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/pridem_kmalu_02_3517abe6-2528-4b4d-83e6-2537b7ec9d11.png,1,Safilo LASTRA 03,,Safilo LASTRA 03| Optika Morela - shopmorela.si,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/pridem_kmalu_02_3517abe6-2528-4b4d-83e6-2537b7ec9d11.png,,,
okvirji-max-co-max-co.365-okrogla-acetat-crna-716736011400,MAX&CO.365,"<div class=""morela-product-details"">
  <ul class=""details-data"">
  <h3>Model očal</h3>
  <li><span class=""label"">Znamka</span><b class=""data"">Max&Co</b></li>
  <li><span class=""label"">Model</span><b class=""data"">MAX&CO.365</b></li>
  <li><span class=""label"">Dodatna oznaka</span><b class=""data"">807</b></li>
  <li><span class=""label"">Kolekcija</span><b class=""data"">ženska</b></li>
  </ul>
  <ul class=""details-data"">
  <h3>Lastnosti okvirja</h3>
  <li><span class=""label"">Velikost</span><b class=""data"">srednja (53-16-140)</b></li>
  <li><span class=""label"">Oblika</span><b class=""data"">okrogla</b></li>
  <li><span class=""label"">Debelina</span><b class=""data"">normalna</b></li>
  <li><span class=""label"">Material</span><b class=""data"">acetat</b></li>
  <li><span class=""label"">Barva</span><b class=""data"">črna</b></li>
  <li><span class=""label"">Obdelava</span><b class=""data"">sijaj</b></li>
  </ul>
  <ul class=""details-data"">
  <h3>Lastnosti stekel</h3>
  <li><span class=""label"">Clip on</span><b class=""data"">ne</b></li>
  <li><span class=""label"">Progresiva</span><b class=""data"">da</b></li>
  </ul>
 </div>",Max&Co,okvirji,"""stg, Max&Co, okvirji, sijaj, progresiv, _tab1_morela-kvaliteta-lec, tah, črna, srednja, acetat, _tab3_material-acetat, okrogla, normalna, _tab2_oblika-okvirja-okrogla, _tab0_velikost-ocal, ženska, q3 2022, 2022-8, nodiscount, upld-2022-08-11, etg""",FALSE,barva,črna,velikost,srednja,,,E716736011400,,shopify,1,deny,manual,89,89,TRUE,TRUE,716736011400,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/pridem_kmalu_02_3517abe6-2528-4b4d-83e6-2537b7ec9d11.png,1,Max&Co MAX&CO.365,,Max&Co MAX&CO.365| Optika Morela - shopmorela.si,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/pridem_kmalu_02_3517abe6-2528-4b4d-83e6-2537b7ec9d11.png,,,
soncna-ocala-jimmy-choo-lory-s-macja-monel-prozorna-siva-716736015385,LORY/S,"<div class=""morela-product-details"">
  <ul class=""details-data"">
  <h3>Model očal</h3>
  <li><span class=""label"">Znamka</span><b class=""data"">Jimmy Choo</b></li>
  <li><span class=""label"">Model</span><b class=""data"">LORY/S</b></li>
  <li><span class=""label"">Dodatna oznaka</span><b class=""data"">YK9</b></li>
  <li><span class=""label"">Kolekcija</span><b class=""data"">ženska</b></li>
  </ul>
  <ul class=""details-data"">
  <h3>Lastnosti okvirja</h3>
  <li><span class=""label"">Velikost</span><b class=""data"">srednja (53-16-140)</b></li>
  <li><span class=""label"">Oblika</span><b class=""data"">mačja</b></li>
  <li><span class=""label"">Debelina</span><b class=""data"">normalna</b></li>
  <li><span class=""label"">Material</span><b class=""data"">monel</b></li>
  <li><span class=""label"">Barva</span><b class=""data"">prozorna, siva</b></li>
  <li><span class=""label"">Obdelava</span><b class=""data"">sijaj</b></li>
  </ul>
  <ul class=""details-data"">
  <h3>Lastnosti stekel</h3>
  <li><span class=""label"">Barva</span><b class=""data"">rjava, prelivna</b></li>
  <li><span class=""label"">Polarizacija</span><b class=""data"">ne</b></li>
  <li><span class=""label"">Progresiva</span><b class=""data"">da</b></li>
  </ul>
 </div>",Jimmy Choo,sončna očala,"""stg, Jimmy Choo, sončna očala, sijaj, progresiv, _tab1_morela-kvalitetna-zascita, prozorna, siva, srednja, monel, kovinska, _tab3_material-monel, mačja, normalna, _tab2_oblika-okvirja-macja, _tab0_velikost-ocal, gls-rjava, prelivna, , ženska, q3 2022, 2022-8, nodiscount, upld-2022-08-11, etg""",FALSE,barva,prozorna,velikost,srednja,,,E716736015385,,shopify,1,deny,manual,449,449,TRUE,TRUE,716736015385,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/pridem_kmalu_02_3517abe6-2528-4b4d-83e6-2537b7ec9d11.png,1,Jimmy Choo LORY/S,,Jimmy Choo LORY/S| Optika Morela - shopmorela.si,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/pridem_kmalu_02_3517abe6-2528-4b4d-83e6-2537b7ec9d11.png,,,
soncna-ocala-tommy-hilfiger-th-1556-s-oglata-najlon-crna-716736019864,TH 1556/S,"<div class=""morela-product-details"">
  <ul class=""details-data"">
  <h3>Model očal</h3>
  <li><span class=""label"">Znamka</span><b class=""data"">Tommy Hilfiger</b></li>
  <li><span class=""label"">Model</span><b class=""data"">TH 1556/S</b></li>
  <li><span class=""label"">Dodatna oznaka</span><b class=""data"">08A</b></li>
  <li><span class=""label"">Kolekcija</span><b class=""data"">moška</b></li>
  </ul>
  <ul class=""details-data"">
  <h3>Lastnosti okvirja</h3>
  <li><span class=""label"">Velikost</span><b class=""data"">široka (56-17-145)</b></li>
  <li><span class=""label"">Oblika</span><b class=""data"">oglata</b></li>
  <li><span class=""label"">Debelina</span><b class=""data"">normalna</b></li>
  <li><span class=""label"">Material</span><b class=""data"">najlon</b></li>
  <li><span class=""label"">Barva</span><b class=""data"">črna</b></li>
  <li><span class=""label"">Obdelava</span><b class=""data"">mat</b></li>
  </ul>
  <ul class=""details-data"">
  <h3>Lastnosti stekel</h3>
  <li><span class=""label"">Barva</span><b class=""data"">siva</b></li>
  <li><span class=""label"">Polarizacija</span><b class=""data"">ne</b></li>
  <li><span class=""label"">Progresiva</span><b class=""data"">da</b></li>
  </ul>
 </div>",Tommy Hilfiger,sončna očala,"""stg, Tommy Hilfiger, sončna očala, mat, progresiv, _tab1_morela-kvalitetna-zascita, črna, široka, najlon, _tab3_material-najlon, oglata, normalna, _tab2_oblika-okvirja-oglata, _tab0_velikost-ocal, gls-siva, standardno, , moška, q3 2022, 2022-8, nodiscount, upld-2022-08-11, etg""",FALSE,barva,črna,velikost,široka,,,E716736019864,,shopify,1,deny,manual,119,119,TRUE,TRUE,716736019864,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/pridem_kmalu_02_3517abe6-2528-4b4d-83e6-2537b7ec9d11.png,1,Tommy Hilfiger TH 1556/S,,Tommy Hilfiger TH 1556/S| Optika Morela - shopmorela.si,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/pridem_kmalu_02_3517abe6-2528-4b4d-83e6-2537b7ec9d11.png,,,
soncna-ocala-tommy-hilfiger-th-1556-s-oglata-najlon-crna-716736019888,TH 1556/S,"<div class=""morela-product-details"">
  <ul class=""details-data"">
  <h3>Model očal</h3>
  <li><span class=""label"">Znamka</span><b class=""data"">Tommy Hilfiger</b></li>
  <li><span class=""label"">Model</span><b class=""data"">TH 1556/S</b></li>
  <li><span class=""label"">Dodatna oznaka</span><b class=""data"">D51</b></li>
  <li><span class=""label"">Kolekcija</span><b class=""data"">moška</b></li>
  </ul>
  <ul class=""details-data"">
  <h3>Lastnosti okvirja</h3>
  <li><span class=""label"">Velikost</span><b class=""data"">srednja (54-16-140)</b></li>
  <li><span class=""label"">Oblika</span><b class=""data"">oglata</b></li>
  <li><span class=""label"">Debelina</span><b class=""data"">normalna</b></li>
  <li><span class=""label"">Material</span><b class=""data"">najlon</b></li>
  <li><span class=""label"">Barva</span><b class=""data"">črna</b></li>
  <li><span class=""label"">Obdelava</span><b class=""data"">mat</b></li>
  </ul>
  <ul class=""details-data"">
  <h3>Lastnosti stekel</h3>
  <li><span class=""label"">Barva</span><b class=""data"">siva, zrcalna</b></li>
  <li><span class=""label"">Polarizacija</span><b class=""data"">ne</b></li>
  <li><span class=""label"">Progresiva</span><b class=""data"">da</b></li>
  </ul>
 </div>",Tommy Hilfiger,sončna očala,"""stg, Tommy Hilfiger, sončna očala, mat, progresiv, _tab1_morela-kvalitetna-zascita, črna, srednja, najlon, _tab3_material-najlon, oglata, normalna, _tab2_oblika-okvirja-oglata, _tab0_velikost-ocal, gls-siva, zrcalna, , moška, q3 2022, 2022-8, nodiscount, upld-2022-08-11, etg""",FALSE,barva,črna,velikost,srednja,,,E716736019888,,shopify,1,deny,manual,129,129,TRUE,TRUE,716736019888,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/pridem_kmalu_02_3517abe6-2528-4b4d-83e6-2537b7ec9d11.png,1,Tommy Hilfiger TH 1556/S,,Tommy Hilfiger TH 1556/S| Optika Morela - shopmorela.si,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/pridem_kmalu_02_3517abe6-2528-4b4d-83e6-2537b7ec9d11.png,,,
okvirji-moschino-mol513-oglata-acetat-havana-716736048888,MOL513,"<div class=""morela-product-details"">
  <ul class=""details-data"">
  <h3>Model očal</h3>
  <li><span class=""label"">Znamka</span><b class=""data"">Moschino</b></li>
  <li><span class=""label"">Model</span><b class=""data"">MOL513</b></li>
  <li><span class=""label"">Dodatna oznaka</span><b class=""data"">086</b></li>
  <li><span class=""label"">Kolekcija</span><b class=""data"">ženska</b></li>
  </ul>
  <ul class=""details-data"">
  <h3>Lastnosti okvirja</h3>
  <li><span class=""label"">Velikost</span><b class=""data"">srednja (52-18-140)</b></li>
  <li><span class=""label"">Oblika</span><b class=""data"">oglata</b></li>
  <li><span class=""label"">Debelina</span><b class=""data"">normalna</b></li>
  <li><span class=""label"">Material</span><b class=""data"">acetat</b></li>
  <li><span class=""label"">Barva</span><b class=""data"">havana</b></li>
  <li><span class=""label"">Obdelava</span><b class=""data"">sijaj, vzorec</b></li>
  </ul>
  <ul class=""details-data"">
  <h3>Lastnosti stekel</h3>
  <li><span class=""label"">Clip on</span><b class=""data"">ne</b></li>
  <li><span class=""label"">Progresiva</span><b class=""data"">da</b></li>
  </ul>
 </div>",Moschino,okvirji,"""stg, Moschino, okvirji, sijaj, vzorec, progresiv, _tab1_morela-kvaliteta-lec, tah, havana, srednja, acetat, _tab3_material-acetat, oglata, normalna, _tab2_oblika-okvirja-oglata, _tab0_velikost-ocal, ženska, q3 2022, 2022-8, nodiscount, upld-2022-08-11, etg""",FALSE,barva,havana,velikost,srednja,,,E716736048888,,shopify,1,deny,manual,129,129,TRUE,TRUE,716736048888,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/pridem_kmalu_02_3517abe6-2528-4b4d-83e6-2537b7ec9d11.png,1,Moschino MOL513,,Moschino MOL513| Optika Morela - shopmorela.si,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/pridem_kmalu_02_3517abe6-2528-4b4d-83e6-2537b7ec9d11.png,,,
okvirji-moschino-mol517-oglata-acetat-havana-716736049083,MOL517,"<div class=""morela-product-details"">
  <ul class=""details-data"">
  <h3>Model očal</h3>
  <li><span class=""label"">Znamka</span><b class=""data"">Moschino</b></li>
  <li><span class=""label"">Model</span><b class=""data"">MOL517</b></li>
  <li><span class=""label"">Dodatna oznaka</span><b class=""data"">086</b></li>
  <li><span class=""label"">Kolekcija</span><b class=""data"">ženska</b></li>
  </ul>
  <ul class=""details-data"">
  <h3>Lastnosti okvirja</h3>
  <li><span class=""label"">Velikost</span><b class=""data"">srednja (52-18-140)</b></li>
  <li><span class=""label"">Oblika</span><b class=""data"">oglata</b></li>
  <li><span class=""label"">Debelina</span><b class=""data"">normalna</b></li>
  <li><span class=""label"">Material</span><b class=""data"">acetat</b></li>
  <li><span class=""label"">Barva</span><b class=""data"">havana</b></li>
  <li><span class=""label"">Obdelava</span><b class=""data"">sijaj, vzorec</b></li>
  </ul>
  <ul class=""details-data"">
  <h3>Lastnosti stekel</h3>
  <li><span class=""label"">Clip on</span><b class=""data"">ne</b></li>
  <li><span class=""label"">Progresiva</span><b class=""data"">da</b></li>
  </ul>
 </div>",Moschino,okvirji,"""stg, Moschino, okvirji, sijaj, vzorec, progresiv, _tab1_morela-kvaliteta-lec, tah, havana, srednja, acetat, _tab3_material-acetat, oglata, normalna, _tab2_oblika-okvirja-oglata, _tab0_velikost-ocal, ženska, q3 2022, 2022-8, nodiscount, upld-2022-08-11, etg""",FALSE,barva,havana,velikost,srednja,,,E716736049083,,shopify,1,deny,manual,129,129,TRUE,TRUE,716736049083,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/pridem_kmalu_02_3517abe6-2528-4b4d-83e6-2537b7ec9d11.png,1,Moschino MOL517,,Moschino MOL517| Optika Morela - shopmorela.si,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/pridem_kmalu_02_3517abe6-2528-4b4d-83e6-2537b7ec9d11.png,,,
soncna-ocala-dior-dioraddict3-oglata-acetat-havana-716736052335,DIORADDICT3,"<div class=""morela-product-details"">
  <ul class=""details-data"">
  <h3>Model očal</h3>
  <li><span class=""label"">Znamka</span><b class=""data"">Dior</b></li>
  <li><span class=""label"">Model</span><b class=""data"">DIORADDICT3</b></li>
  <li><span class=""label"">Dodatna oznaka</span><b class=""data"">AHF</b></li>
  <li><span class=""label"">Kolekcija</span><b class=""data"">ženska</b></li>
  </ul>
  <ul class=""details-data"">
  <h3>Lastnosti okvirja</h3>
  <li><span class=""label"">Velikost</span><b class=""data"">srednja (52-18-150)</b></li>
  <li><span class=""label"">Oblika</span><b class=""data"">oglata</b></li>
  <li><span class=""label"">Debelina</span><b class=""data"">normalna</b></li>
  <li><span class=""label"">Material</span><b class=""data"">acetat</b></li>
  <li><span class=""label"">Barva</span><b class=""data"">havana</b></li>
  <li><span class=""label"">Obdelava</span><b class=""data"">sijaj, vzorec</b></li>
  </ul>
  <ul class=""details-data"">
  <h3>Lastnosti stekel</h3>
  <li><span class=""label"">Barva</span><b class=""data"">modra, prelivna</b></li>
  <li><span class=""label"">Polarizacija</span><b class=""data"">ne</b></li>
  <li><span class=""label"">Progresiva</span><b class=""data"">da</b></li>
  </ul>
 </div>",Dior,sončna očala,"""stg, Dior, sončna očala, sijaj, vzorec, progresiv, _tab1_morela-kvalitetna-zascita, havana, srednja, acetat, _tab3_material-acetat, oglata, normalna, _tab2_oblika-okvirja-oglata, _tab0_velikost-ocal, gls-modra, prelivna, , ženska, q3 2022, 2022-8, nodiscount, upld-2022-08-11, etg""",FALSE,barva,havana,velikost,srednja,,,E716736052335,,shopify,1,deny,manual,329,329,TRUE,TRUE,716736052335,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/pridem_kmalu_02_3517abe6-2528-4b4d-83e6-2537b7ec9d11.png,1,Dior DIORADDICT3,,Dior DIORADDICT3| Optika Morela - shopmorela.si,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/pridem_kmalu_02_3517abe6-2528-4b4d-83e6-2537b7ec9d11.png,,,
soncna-ocala-dior-diorsynthesis01-okrogla-monel-havana-716736059082,DIORSYNTHESIS01,"<div class=""morela-product-details"">
  <ul class=""details-data"">
  <h3>Model očal</h3>
  <li><span class=""label"">Znamka</span><b class=""data"">Dior</b></li>
  <li><span class=""label"">Model</span><b class=""data"">DIORSYNTHESIS01</b></li>
  <li><span class=""label"">Dodatna oznaka</span><b class=""data"">2IK</b></li>
  <li><span class=""label"">Kolekcija</span><b class=""data"">moška</b></li>
  </ul>
  <ul class=""details-data"">
  <h3>Lastnosti okvirja</h3>
  <li><span class=""label"">Velikost</span><b class=""data"">ozka (48-19-140)</b></li>
  <li><span class=""label"">Oblika</span><b class=""data"">okrogla</b></li>
  <li><span class=""label"">Debelina</span><b class=""data"">normalna</b></li>
  <li><span class=""label"">Material</span><b class=""data"">monel</b></li>
  <li><span class=""label"">Barva</span><b class=""data"">havana</b></li>
  <li><span class=""label"">Obdelava</span><b class=""data"">sijaj, vzorec</b></li>
  </ul>
  <ul class=""details-data"">
  <h3>Lastnosti stekel</h3>
  <li><span class=""label"">Barva</span><b class=""data"">zelena</b></li>
  <li><span class=""label"">Polarizacija</span><b class=""data"">ne</b></li>
  <li><span class=""label"">Progresiva</span><b class=""data"">da</b></li>
  </ul>
 </div>",Dior,sončna očala,"""stg, Dior, sončna očala, sijaj, vzorec, progresiv, _tab1_morela-kvalitetna-zascita, havana, ozka, monel, kovinska, _tab3_material-monel, okrogla, normalna, _tab2_oblika-okvirja-okrogla, _tab0_velikost-ocal, gls-zelena, standardno, , moška, q3 2022, 2022-8, nodiscount, upld-2022-08-11, etg""",FALSE,barva,havana,velikost,ozka,,,E716736059082,,shopify,1,deny,manual,488,488,TRUE,TRUE,716736059082,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/pridem_kmalu_02_3517abe6-2528-4b4d-83e6-2537b7ec9d11.png,1,Dior DIORSYNTHESIS01,,Dior DIORSYNTHESIS01| Optika Morela - shopmorela.si,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0376/6953/5788/products/pridem_kmalu_02_3517abe6-2528-4b4d-83e6-2537b7ec9d11.png,,,
